Ranking,Profile,Followings,Followers,Description
1,Rafael Correa (@MashiRafael),17,3447808,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
2,Mi Abuela Sabia (@miabuelasabia),6030,2902212,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
3,Ecuavisa (@ecuavisa),864,2300037,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
4,Teleamazonas (@teleamazonasec),476,2007629,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
5,El Universo (@eluniversocom),2887,1921404,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
6,Presidencia ECU (@Presidencia_Ec),225,1544587,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
7,El Comercio (@elcomerciocom),4811,1463885,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
8,mariateresaguerrero (@flacaguerrerog),1245,1431146,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
9,enchufetv (@enchufetv),85,1421356,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
10,JAN CARLO BAUTISTA 🍯 (@jancarlobg),3507,1306334,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
11,Ecuavisa Noticias (@EcuavisaInforma),467,1244072,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
12,TC Televisión (@tctelevision),1152,1223564,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
13,Antonio Valencia (@anto_v25),152,1176412,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
14,Instituto Geofísico (@IGecuador),415,1148726,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
15,BARCELONA S.C. (@BarcelonaSC),60,1133161,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
16,Domenica Saporiti (@DomeSprt),1013,1079176,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
17,Jaime Nebot (@jaimenebotsaadi),17,1048480,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
18,Achraf Ben Ayad (@Benayadachraf),3313,1034937,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
19,Felipe Caicedo (@FelipaoCaicedo),101,966162,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
20,Sofia Caiche Romero (@SofiaCaiche),324,925430,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
21,Estéfani Espín (@ESTEFANIESPIN),451,924293,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
22,Juan Fernando Velasco (@juanfervelasco),639,910055,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
23,Policía Ecuador (@PoliciaEcuador),1168,885858,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
24,José Serrano Salgado (@ppsesa),280,843118,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
25,Christopher Velez (@christophervele),302,771382,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
26,Andres Guschmer T. (@aguschmer),896,743652,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
27,D i e g o (@DiegoSpotorno),1790,709921,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
28,Lenín Moreno (@Lenin),38,709126,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
29,Ursula Strenge (@ursulastrengech),754,706368,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
30,Michela Pincay (@MichelaPinBu),1316,705253,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
31,Gaby Pazmiño Yepez (@gpazminoyepez),359,661210,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
32,Tania Tinoco (@tinocotania),790,660606,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
33,David Reinoso (@DavidReinoso),395,657979,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
