Ranking,Profile,Followings,Followers,Description
1,Nikos Aliagas (@nikosaliagas),58727,1699041,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
2,Yanis Varoufakis (@yanisvaroufakis),306,974112,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
3,Nikos Chatzinikolaou (@NChatzinikolaou),34800,630107,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
4,Popi Tsapanidou (@tsapanidou),16484,629572,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
5,Eleonora Meleti (@NonoraM),337,620669,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
6,Maria Iliaki (@MariaIliaki),551,604232,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
7,SKAI.gr (@skaigr),37,593203,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
8,sakisrouvas (@sakisrouvas),381,530493,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
9,Αλέξης Τσίπρας - Alexis Tsipras (@atsipras),173,528159,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
10,Helena Paparizou (@paparizouhelena),214,524999,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
11,Sissy Christidou (@SissyChristidou),703,498583,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
12,Παυλίδης Θεόδωρος (@PavlidisTheo),446041,495778,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
13,Prime Minister GR (@PrimeministerGR),213,494690,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
14,Despina Vandi (@Desp1naVandi),232,443961,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
15,AkisPetretzikis (@A_petretzikis),22,437322,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
16,Kostas.Vaxevanis (@KostasVaxevanis),2411,426212,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
17,Themis Georgantas (@ThemisGeo),371,371128,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
18,enikos.gr (@enikos_gr),15,370171,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
19,Η ΚΑΘΗΜΕΡΙΝΗ (@Kathimerini_gr),374,341427,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
20,Alexis Tsipras (@tsipras_eu),151,313205,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
21,ALPHA TV (@ALPHA_TV),82,290097,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
22,Elli Kokkinou (@ElliKokkinou),207,286372,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
23,Athens Voice (@AthensVoice),1454,270535,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
24,protothema.gr (@protothema),194,257578,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
25,Natalia Germanou (@nataliagermanou),1997,251113,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
26,LiFO (@lifomag),1394,240667,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
27,Anna Vissi (@AnnaVissiLive),183,227619,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
28,Jenny Balatsinou (@JennyBalatsinou),384,221864,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
29,Άδωνις Γεωργιάδης (@AdonisGeorgiadi),3858,219003,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
30,Natasa Theodoridou (@Nat_Theodoridou),439,215290,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
31,Kyriakos Mitsotakis (@kmitsotakis),1999,214659,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
32,Maria (@xMariaV),197347,213044,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
33,Tamta (@_Tamta_),288,210496,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
34,ΑΝΤ1TV (@ANT1TV),501,189606,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
35,Το Βήμα  - To Vima (@tovimagr),59,189195,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
