Ranking,Profile,Followings,Followers,Description
1,NRJ ANTILLES (@NRJAntilles),943,24848,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
2,France Antilles Gpe (@FAGuadeloupe),654,23232,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
3,Îles de Guadeloupe (@ilesGuadeloupe),263,20487,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
4,Francisco Cienfuegos (@pacocienfuegos),1040,18094,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
5,Guadeloupe la 1ère (@guadeloupela1e),512,10774,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
6,Guadeloupe Image ☀️ (@Gpe_image),4965,2854,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
7,Ki Janw Twouvéy (@KiJanwTwouvey),430,2847,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
8,Desperados FWI (@DesperadosAG),75,356,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
9,Boat Odyssey (@BoatOdyssey),102,86,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
10,Groupe Loret (@groupeloret),61,85,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
