Ranking,Profile,Followings,Followers,Description
1,كاظم الساهر  Kadim Al Sahir (@KadimAlSahirORG),9,7039764,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
2,AlsumariaTV-السومرية (@alsumariatv),567,2978896,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
3,يونس محمود (@YounisMahmoud10),14,2731099,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
4,العربية العراق (@AlArabiya_Iraq),38,2681302,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
5,الحرة عراق (@AlhurraIraq),11,2058113,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
6,Zain Iraq (@ZainIraq),10,1509814,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
7,Asiacell (@Asiacellconnect),49,1265455,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
8,د. حنان الفتلاوي (@hanansmohsin),93,1206896,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
9,Haider Al-Abadi حيدر العبادي (@HaiderAlAbadi),0,1084273,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
10,Parwaz Hussein برواس حسين (@ParwazOfficial),566,892204,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
11,وفيق السامرائي (@wafik_alsamurai),186,844076,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
12,Rudaw (@Rudawkurdish),8,726014,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
13,Barham Salih (@BarhamSalih),100,699870,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
14,ستار سعد - Sattar Saad (@staarsaad),81,518363,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
15,مقتدى السيد محمد الصدر (@Mu_AlSadr),0,512515,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
16,Nouri Al-Maliki (@nourialmalikiiq),17,512102,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
