Ranking,Profile,Followings,Followers,Description
1,Peter kennaugh (@Petekennaugh),122,72596,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
2,Isle of Man Police (@iompolice),2,20757,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
3,Isle of Man Government (@IOMGovernment),640,12181,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
4,Simon Costain (@WebPresenceIOM),9014,8192,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
5,Steam Packet Company (@iomsteampacket),145,6588,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
6,IOM Fire &amp; Rescue (@iomfire),520,6455,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
7,Isle of Man Airport (@IOMAirport),197,4000,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
8,Acantha Business Solutions (@acanthaco),1861,1497,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
9,Spar Governors Hill (@GovernorsSpar),465,350,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
10,align4life (@align4life),14,3,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
