Ranking,Profile,Followings,Followers,Description
1,有吉弘行 (@ariyoshihiroiki),245,7114098,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
2,松本人志 (@matsu_bouzu),79,6688030,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
3,BTS JAPAN OFFICIAL (@BTS_jp_official),5,5790125,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
4,きゃりーぱみゅぱみゅ (@pamyurin),334,5249103,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
5,スターバックス コーヒー (@Starbucks_J),1710889,4662938,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
6,ローソン (@akiko_lawson),192165,4286777,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
7,ROLA (@RolaWorLD),159,4274848,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
8,はじめしゃちょー(hajime) (@hajimesyacho),965,4183006,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
9,広瀬すず (@Suzu_Mg),132,3733705,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
10,三村マサカズ (@hentaimimura),372,3345571,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
11,堀江貴文(Takafumi Horie) (@takapon_jp),595,3314099,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
12,セブン‐イレブン・ジャパン (@711SEJ),8993,3176311,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
13,小嶋 陽菜 (@kojiharunyan),200,3106310,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
14,HIKAKIN😎ヒカキン 【YouTuber】 (@hikakin),2781,3086798,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
15,吉高由里子 (@ystk_yrk),0,3031460,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
16,宇多田ヒカル (@utadahikaru),27,3012210,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
