Ranking,Profile,Followings,Followers,Description
1,مشاري راشد العفاسي (@Alafasy),1074,14080417,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
2,نبيل علي العوضي (@NabilAlawadhy),519,11052464,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
3,Dr.TareqAlSuwaidan (@TareqAlSuwaidan),12,9884921,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
4,محمد العوضي (@mh_awadi),317,4268566,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
5,د. عبدالله النفيسي (@DrAlnefisi),0,2540705,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
6,سعد علوش (@Saad3alosh),463,2219056,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
7,الوطن الإلكترونية (@WatanNews),2,2108066,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
8,شامل نيوز 🇰🇼 (@liferdefempire),2263833,2058235,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
9,رحال (@7madms),1060256,1961575,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
10,الترند السعودي (@AlTrendAlsaudi),1037437,1840171,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
11,د. جاسم المطوع (@drjasem),78,1779505,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
12,#رتويت_العرب || 1.7M || (@Rt3arb),299976,1640440,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
13,المجلس (@Almajlliss),0,1528967,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
14,EPL World (@EPLworld),359,1483702,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
15,علي نجم (@AliNajim),1097,1427318,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
