Ranking,Profile,Followings,Followers,Description
1,Rubén Blades (@rubenblades),268,986236,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
2,LaCascara.TV (@la_cascara),3471,781774,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
3,TVN Noticias (@tvnnoticias),1565,761986,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
4,TVN Panamá (@tvnpanama),2923,758273,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
5,Ricardo Martinelli (@rmartinelli),2250,716790,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
6,Telemetro (@Telemetro),1030,711878,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
7,Alvaro Alvarado (@AlvaroAlvaradoC),1388,638212,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
8,Telemetro Reporta (@TReporta),1524,568459,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
9,Juan Carlos Varela (@JC_Varela),1149,553638,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
10,La Prensa Panamá (@prensacom),253,480833,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
11,Policía Nacional (@ProtegeryServir),525,455984,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
12,Juan Carlos Tapia (@JCTapiaLMB),1102,428042,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
13,Ubaldo Davis Senior (@DavisZone),10177,409407,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
14,Eddy Vasquez K (@EddyVasquezWao),2449,388928,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
15,CHIVAS PARRANDERAS (@xivaparrandera),675729,371721,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
16,Castalia Pascual F. (@CastaliaPascual),509,364780,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
17,TERRENOS PANAMA (@TerrenosPMA),782727,361564,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
18,Guillermo A. Cochez (@willycochez),552,352789,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
