Ranking,Profile,Followings,Followers,Description
1,Pope Francis (@Pontifex),8,18077848,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
2,Papa Francisco (@Pontifex_pt),8,4271216,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
3,Pape François (@Pontifex_fr),8,1384574,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
4,Papa Franciscus (@Pontifex_ln),8,914088,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
5,Noticias del Papa Francisco (@SSFranciscoI),35,485490,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
6,Vatican News (@vaticannews_es),1,167715,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
7,Vatican News (@vaticannews_it),30,159470,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
8,Pope2You (@Pope2YouVatican),175,25601,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
9,UK in Holy See 🇬🇧🇻🇦 (@UKinHolySee),4046,10346,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
10,La France au Vatican (@FranceauVatican),95,1478,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
11,Canada at Holy See (@CanadaHolySee),563,1161,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
12,Canada au St-Siège (@CanSaintSiege),151,546,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
