Ranking,Profile,Followings,Followers,Description
1,Sky Sports RL (@SkySportsRL),183,101252,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
2,UNISON - the union (@unisontweets),2982,55371,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
3,Museum of Liverpool (@MuseumLiverpool),2973,46131,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
4,FCO: Working for us (@fcocareers),190,11207,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
5,Wilton Park (@WiltonPark),1127,9584,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
6,Dead! (@wearedeaduk),554,6959,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
7,Highland Spring (@Highland_Spring),543,6434,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
8,intu group (@intugroup),841,4216,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
9,Konecranes UK Ltd (@KonecranesUK),666,2250,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
10,IMechE Events &amp; Training (@IMechEevents),611,2077,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
11,Canada in Guinea (@CanadaGuinea),10,1342,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
12,I Love Social Media (@ImreDaranyi),2059,862,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
13,Grand_Hotel_Djibloho (@GHD_Official),274,111,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
