Ranking,Profile,Followings,Followers,Description
1,Ricardo Arjona ® (@Ricardo_Arjona),36,10514535,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
2,Prensa Libre (@prensa_libre),80,1289996,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
3,Emisoras Unidas (@EmisorasUnidas),90,1184661,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
4,Noti7 (@Noti7Guatemala),937,1147605,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
5,Mundo Animal (@EsMundoAnimal),40,1052459,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
6,Guatevisión (@Guatevision_tv),50,967926,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
7,TELEDIARIO GUATEMALA (@TelediarioGT),380,957189,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
8,Pastor Cash Luna (@PastorCashLuna),57,907803,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
9,Radio SONORA 96.9 FM (@sonora969),53,838065,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
10,Nuestro Diario (@NuestroDiario),311,787588,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
11,Ley De Chicos™ (@LeyDeChicos),30,771121,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
12,elPeriódico (@el_Periodico),115,734285,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
13,T13 Noticias (@T13Noticias),130,708300,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
14,Amilcar Montejo (@amilcarmontejo),216,704422,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
15,Café y Libros. (@TextosDeLibros),14,697128,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
16,MuniGuate (@muniguate),59,671029,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
17,Canales3y7 (@Canales3y7),43,619314,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
18,CONRED (@ConredGuatemala),176,606659,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
19,Tigo Guatemala (@Tigo_GT),22518,546554,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
20,PNC Guatemala (@PNCdeGuatemala),125,546453,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
21,Encapsulados TV® (@encapsulados),47166,509503,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
22,Bomberos Voluntarios (@BVoluntariosGT),16,472497,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
