Ranking,Profile,Followings,Followers,Description
1,Elissa (@elissakh),352,13545206,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
2,Nancy Ajram (@NancyAjram),108,13374330,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
3,Najwa Karam (@najwakaram),113,7821164,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
4,Haifa Wehbe (@HaifaWehbe),39,6636481,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
5,Ragheb Alama (@raghebalama),486,6049766,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
6,CAROLE SAMAHA🔴 (@CAROLE_SAMAHA),286,4716705,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
7,Nawal El Zoghbi - نوال الزغبي (@NawalElZoghbi),110,4247402,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
8,Yara (@yara_lb),197,3914071,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
9,Assi El Hallani (@assihallani),297,3344271,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
10,نيشان (@Neshan),427,3199963,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
11,Wael Kfoury (@waelkfoury),136,3161590,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
12,Rima Maktabi (@rimamaktabi),929,2998627,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
13,Fayrouz (@FayrouzOfficial),0,2422501,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
14,Cyrine Abdelnour (@CyrineAbdlNour),118,1981478,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
15,Myriam Fares (@myriamfares),0,1844983,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
16,Maher Zain (@MaherZain),69,1785969,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
17,Octavia Nasr أوكتاڤيا نصر 🕉 (@octavianasr),1605,1701327,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
18,Rima Fakih (@RimaFakih),183,1644124,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
19,Ramy Ayach رامي عياش (@RamyAyach),172,1577348,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
20,Saad Hariri (@saadhariri),406,1538653,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
21,قنـــاة الجـــديـــد (@ALJADEEDNEWS),396,1465357,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
22,Ali Jaber (@alimouinjaber),1012,1408973,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
23,قناة الميادين (@AlMayadeenNews),55,1349739,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
24,Maya Diab (@mayadiab),234,1342544,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
25,MTV Lebanon (@mtvlebanon),86,1324443,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
26,RAYA ABIRACHED (@RAYAofficial),1796,1262649,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
27,Nicole Saba (@NicoleSabaaa),105,1257778,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
28,Majida El Roumi (@majidaelroumi),55,1191237,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
29,⭐️Diana Haddad⭐️ ديانا حداد (@DianaHaddad),253,1100099,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
30,Marcel Ghanem (@Marcel_Ghanem),883,1082459,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
31,MTV Lebanon News (@MTVLebanonNews),152,1052968,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
32,Nasser Fakih (@fakihn),221,1009803,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
33,LBCI Lebanon News (@LBCI_NEWS),317,989560,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
34,جبران خليل جبران. (@Gbraniat),2,882346,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
35,Star Academy Arabia (@StaracArabia),87,815418,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
36,Adel Karam (@adelkaram9),232,808533,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
37,Walid Joumblatt (@walidjoumblatt),3174,807591,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
38,LBCI TV (@LbciLebanon),852,801961,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
39,Mona Abou Hamze (@MonaAbouHamze),844,792815,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
40,Nadine Labaki (@NadineLabaki),269,757961,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
41,Annahar (@Annahar),591,718792,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
42,Nadine Nassib Njeim (@nadinenjeim),241,710739,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
43,Wiam Wahhab (@wiamwahhab),1178,693439,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
44,Youssef Al Khal (@youssefalkhal),118,689388,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
45,Annabella Hilal (@annabella_hilal),527,686289,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
46,الحكواتي 🍒 (@Mr_kaaled),569743,681815,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
47,Shada Omar شدا عمر (@Shadaomar),2065,679630,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
48,ذات (@Zatt__),78,656968,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
49,Tony Khalife|طوني خليفة (@TonyKhalifeh),60,636375,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
50,زياد خوري (@ZiadKhoury88),132,600826,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
51,Ziyad Baroud (@ZiyadBaroud),1024,556918,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
52,Joseph Attieh (@josephattieh),140,554167,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
53,Serj Tankian (@serjtankian),35,547292,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
54,Rima Njeim (@RimaNJEIM),439,541179,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
55,Naim Halawi (@NaimHalawi),622,533800,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
56,Najib Mikati (@Najib_Mikati),1196,500180,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
57,Amal Hijazi (@AmalHijazi),164,492352,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
58,SAMIR GEAGEA (@DRSAMIRGEAGEA),114,481347,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
59,Michel Sleiman (@SleimanMichel),284,479147,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
60,قناة المنار (@almanarnews),67,478959,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
61,قوى الامن الداخلي (@LebISF),705,476095,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
62,سالم زهران (@salemzahran05),1081,472505,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
63,jamal fayadجمال فياض (@jamalfayad),550,452700,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
64,Maya Nasri (@Maya_Nasri),37,439457,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
65,الميادين عاجل (@AlMayadeenLive),2,438037,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
66,جريدة السفير (@assafir),14,434587,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
67,Razan El Moghrabi (@RazanElMoghrabi),304,433969,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
68,التحكم المروري (@tmclebanon),401,433434,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
69,Nadine elrassi (@NadineElRassi),446,432480,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
70,جريدة الأخبار (@AlakhbarNews),204,428774,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
71,Fares Karam (@fareskaram),214,420005,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
72,Lea Makhoul (@LeaMakhoul),62,404321,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
73,Al Joumhouria (@aljoumhouria),140,397441,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
74,Samy Gemayel (@samygemayel),271,396373,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
75,Nassim Nicholas Taleb (@nntaleb),932,392569,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
76,بولا يعقوبيان (@PaulaYacoubian),1646,390148,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
77,Hicham haddad (@HichamHaddad57),983,389149,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
78,Gebran Bassil (@Gebran_Bassil),219,375779,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
79,Lebanon Debate (@lebanondebate),6214,369226,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
80,bisara7a.com|بصراحة (@bisara7a),734,368925,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
81,𝕭𝖆𝖘𝖘𝖊𝖒 𝕽𝖎𝖟𝖐  الباسم (@bassemrizk),190,364914,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
82,La Wlooo (@Iebaenese),378431,360197,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
83,Dima (@DimaSadek),916,351454,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
84,أسرار للنساء فقط (@Women_Secrets),1,343421,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
85,michael malarkey (@mkmalarkey),2374,341333,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
86,Hilda Khalife هيلدا خليفة (@hildakhalife),124,339320,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
87,عشرين 30 (@Vision2030LBCI),219,332559,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
88,Jessica Azar (@Jessicaazar),536,331626,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
89,Bitajarod بتجرد (@Bitajarod),653,313599,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
90,Future TV :: News (@futuretvnews),53,310011,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
91,Jad Abumrad (@JadAbumrad),486,307655,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
92,مهند المرسومي (@mohanadmarsoomi),50,306102,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
93,البنك العربي الوطني (@ANB_BANK),5,304936,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
94,General Ashraf Rifi (@Ashraf_Rifi),288,297341,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
95,Joumana Bou Eid 🇱🇧 (@JoumanaBouEid),672,292831,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
96,Patricia Hachem (@Patricia_Hachem),749,291867,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
97,Nadim Koteich (@NadimKoteich),1417,275991,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
98,touch (@touchLebanon),1461,265302,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
99,mona saliba (@monasaliba),566,262165,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
100,Wissam Breidy (@WissamBreidy),469,262123,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
