Ranking,Profile,Followings,Followers,Description
1,U.S. Embassy - Libya (@USAEmbassyLibya),240,466682,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
2,UK in Libya🇬🇧🇱🇾 (@UKinLibya),14,355615,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
3,Dr.Mustafa Abushagur (@MustafaAG),177,339405,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
4,218TV (@218Tv),5,338622,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
5,قناة ليبيا (@LibyasChannel),7,313259,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
6,حكومة الوفاق الوطني (@LGNAMedia),1,283090,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
7,Libya Alahrar TV - قناة ليبيا الأحرار (@libyaalahrartv),2,275737,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
8,ليبيا الآن (@libyaalaan),64,251653,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
9,History of Libya (@Libyanhistory),5,244992,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
10,UNSMIL (@UNSMILibya),274,240566,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
11,ShababLibya (@ShababLibya),504,238510,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
12,hend amry (@LibyaLiberty),3128,232134,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
13,محمود شمام (@MahmudShammam),1052,199380,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
14,د. ابراهيم حمامي (@DrHamami),40,191195,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
15,Libya Al Hurra (@LibyaAlHurraTV),2132,158077,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
16,Italy in Libya (@ItalyinLibya),30,98899,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
17,EU DEL to LIBYA (@EUDELtoLibya),28,88130,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
18,Libya 24 - ليبيا 24 (@libya24tv),0,58592,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
19,قناة ليبيا الحدث (@libyaalhadathtv),0,58256,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
20,Mohamed Eljarh (@Eljarh),1482,36370,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
21,بوابة افريقيا الاخبارية (@afrigatenewsly),1,36203,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
22,Ismael (@ChangeInLibya),2113,32674,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
23,Libyan Armchair Arab (@ArmchairArab),1782,29137,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
24,ليبيا بانوراما (@lpc_ly),23,25251,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
25,صحيفة المرصد الليبية (@ObservatoryLY),0,24072,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
26,Libyaschannel EN (@LibyaschannelEN),15,22639,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
27,Fezzan Libya Org (@FezzanLibyaOrg),942,17862,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
28,قناة النبأ - Alnabaa Tv (@Alnabaatv_ly),1,16553,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
29,Ali Zeidan (@AliZeidanZ),65,16184,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
30,Libyan Affairs (@LibyanAffairs),2402,14376,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
31,British Council (@lyBritish),413,13971,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
32,ICRC Libya (@ICRC_lby),101,13776,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
