Ranking,Profile,Followings,Followers,Description
1,قناة الجزيرة (@AJArabic),28,13828231,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
2,فيصل القاسم (@kasimf),793,5212534,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
3,الجزيرة مباشر (@ajmubasher),15,3737327,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
4,عادل علي بن علي (@AdelAliBinAli),512,2495626,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
5,علي سعيد الكعبي (@AlkaabiAs),559,1522620,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
6,Al Jazeera News (@AJENews),373,1506051,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
7,محمد سعدون الكواري (@Ms3don),1533,1465319,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
8,Qatar Airways (@qatarairways),237,1403161,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
9,أيمن جاده (@aymanjada),222,874235,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
10,جوعان بن حمد (@JoaanBinHamad),173,816108,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
11,خالد جاسم (@khalidjassem74),1401,744126,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
12,وزارة الداخلية - قطر (@MOI_Qatar),2,718865,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
13,Ammar Mohammed (@ammr),593141,701212,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
14,Dr. Bilal Philips (@DrBilalPhilips),11,688512,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
15,عبدالله بن حمد العذبة (@A_AlAthbah),395,652899,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
16,قنوات الكاس (@alkasschannel),8,644806,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
17,فهد الكبيسي (@FahadAlkubaisi),383,616580,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
18,محمد الأحمري (@alahmarim),567,581007,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
