Ranking,Profile,Followings,Followers,Description
1,Amb.Francine Muyumba 🇨🇩 (@Muyumba),3116,299394,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
2,ᒎᘎᗩᘉ ᙅ. ᗷᗩᖇᖇƳ (@JUANCBARRY),1492,149820,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
3,Denis Sassou Nguesso (@SassouCG),2,20144,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
4,Airtel Congo B (@airtel_congob),1007,13414,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
5,MTN CONGO (@MTN_123),2453,10722,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
6,Vérone Mankou (@verone),343,10649,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
7,Claude Makélélé (@ClaudeMakelele),4,10064,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
8,Brazzaweb (@brazzaweb),1047,8308,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
9,ECAir (@ECongoAirlines),274,3482,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
10,Aurélie GANGA (@AurelieGanga),1596,2115,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
11,VMK (@vmktech),4,1935,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
12,AZUR CONGO (@azur_congo),1773,981,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
13,gaston Ndoumbe (@gazambey),1153,827,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
