Ranking,Profile,Followings,Followers,Description
1,Ladilafé (@LadiLafeFR),10016,19458,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
2,Linfo.re (@Linfore),330,15744,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
3,Réunion la 1ère (@reunionla1ere),596,15543,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
4,Antenne Réunion (@antennereunion),647,12507,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
5,Le Quotidien (@lequotidien),318,11531,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
6,Catharine Cellier-Smart - FR to ENG Translator (@Smart_Translate),2729,6596,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
7,L'effet Péi (@leffetpei),1834,4606,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
8,Université Réunion (@Univ_Reunion),439,3247,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
9,Thierry Robert (@trobert974),474,2656,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
10,François Altwies (@francois352),4996,2284,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
11,Eric Gouazé (@LedZep974),2630,2199,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
12,Vanilla Islands🌴 (@VanillaIslands2),1664,1732,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
13,Catharine Cellier-Smart (@NewsFromReunion),845,1384,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
14,CINE CAMBAIE (@CINECAMBAIE),895,1145,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
15,Ile en Ile (@Ile_en_Ile),307,747,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
16,BelkaCar (@BelkaCar_ru),6,722,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
17,Hôtel Le Récif (@HotelLeRecif),269,507,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
18,GROUPE STOR (@StorSolutions),221,289,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
19,MONTICKET.RE (@MONTICKETRE),72,216,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
20,Ma Régisseuse (@MaRegisseuse),84,122,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
21,CorexSolar int (@CorexSolar974),176,81,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
22,​ Teralta Groupe CRH (@TeraltaCRH),100,69,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
