Ranking,Profile,Followings,Followers,Description
1,د. عائض القرني (@Dr_alqarnee),328,18884526,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
2,أحمد الشقيري (@shugairi),0,18177234,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
3,سلمان العودة (@salman_alodah),235,13421675,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
4,صحيفة سبق الإلكترونية (@sabqorg),4,12729789,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
5,أخبار السعودية (@SaudiNews50),4,11580747,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
6,الوليد بن طلال (@Alwaleed_Talal),38,10495022,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
7,هاشتاق السعودية (@HashKSA),943,9626522,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
8,نادي الهلال السعودي (@Alhilal_FC),45,8658464,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
9,عبدالرحمن بن مساعد (@abdulrahman),5653,7739603,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
10,سلمان بن عبدالعزيز (@KingSalman),0,7595527,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
11,سامي الجابر (@SamiAlJaber),333,7213919,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
12,وليد_الفراج# (@waleedalfarraj),1771,6866836,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
13,أ. د. طارق الحبيب (@Talhabeeb),47,6701978,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
14,فايز المالكي (@fayez_malki),664,6653994,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
15,الشيخ صالح المغامسي (@SalehAlmoghamsy),0,6603514,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
16,ياسر القحطاني (@Y20),185,6400028,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
17,بتال القوس (@battalalgoos),1108,6087743,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
18,أ.د.ناصر العمر (@naseralomar),0,5911759,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
19,علي الجفري (@alhabibali),1598,5755941,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
20,عزام الدخيّل (@AzzamAlDakhil),2720,5431639,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
21,خالد الشنيف (@k_alshenaif),845,5022914,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
