Ranking,Profile,Followings,Followers,Description
1,نزار قباني (@Nizariat),3,3580112,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
2,عدنان العرعور (@AdnanAlarour),3,3369825,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
3,Assala (@AssalaOfficial),229,3350209,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
4,أمانة محافظة جدة (@JeddahAmanah),9,2049128,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
5,Omar Al Somah (@omaralsomah),391,1572008,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
6,فرح يوسف (@FarrahYousef),447,1124857,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
7,غادة السمان (@Ghadaiat),3,1034678,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
8,Kinda Alloush (@KindaAlloush),265,863041,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
9,Kosai Khauli 🇸🇾-🇺🇸 (@kosai1khauli),364,725804,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
10,هادي العبدالله Hadi (@HadiAlabdallah),390,651499,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
11,Mining (@Mining_facts),86,517243,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
12,عبد الكريم حمدان (@AbdelKrimHamdan),139,507853,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
13,العربية سوريا (@AlArabiya_SY),37,483750,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
14,Qubad Talabani (@qubadjt),984,479919,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
15,شبكة شام الإخبارية (@shaamnews),5,463823,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
16,علي الطنطاوي (@ali_al6n6awe),14,438475,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
17,العقيد رياض الأسعد (@riyadhalasaad),239,406539,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
