Ranking,Profile,Followings,Followers,Description
1,Вера Брежнева (@VeraBrezhneva),38,3110027,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
2,Sviatoslav Vakarchuk (@s_vakarchuk),11,1911852,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
3,януликс (@yan_gordienko),93,1253597,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
4,Петро Порошенко (@poroshenko),29,1206410,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
5,NK | Nastia Kamenskykh (@KAMEHCKUX),8,1156267,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
6,Hromadske.UA (@HromadskeUA),660,936826,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
7,Українська правда ✌️ (@ukrpravda_news),285,901122,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
8,ТСН.ua (канал 1+1) (@tsnua),5,841876,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
9,Mustafa Nayyem (@mefimus),132,792409,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
10,Maksim Chmerkovskiy (@MaksimC),52,641663,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
11,Ёжик в панаме (@xuzuv),634153,609412,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
12,Arsen Avakov (@AvakovArsen),279,591059,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
13,Arseniy Yatsenyuk (@Yatsenyuk_AP),55,571323,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
14,Типичный Киев (@kievtypical),311,565905,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
15,Natus Vincere (@natusvincere),314,478293,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
16,Danil Ishutin (@DendiBoss),380,470755,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
