Ranking,Profile,Followings,Followers,Description
1,Ricardo Montaner (@montanertwiter),407,8982407,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
2,Henrique Capriles R. (@hcapriles),1940,7236241,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
3,La Patilla (@la_patilla),166,7042894,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
4,Leopoldo López (@leopoldolopez),326159,5324957,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
5,gaby espino (@gabyespino),1184,5270153,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
6,El Universal (@ElUniversal),64384,4964380,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
7,Globovisión (@globovision),415,4912945,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
8,El Nacional (@ElNacionalWeb),355914,4825439,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
9,Luis Chataing (@LuisChataing),179,4714262,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
10,Chino y Nacho (@ChinoyNacho),196,4659303,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
11,Pensamientos (@FraseSimple),15094,4524028,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
12,Franco De Vita (@FrancoDeVita),309,4498633,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
13,María Corina Machado (@MariaCorinaYA),4404,4365266,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
14,Erika de la Vega (@ErikaDLV),772,4250070,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
15,Hugo Chávez Frías (@chavezcandanga),20,4024829,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
16,Últimas Noticias (@UNoticias),101946,3940019,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
17,Nicolás Maduro (@NicolasMaduro),107,3642394,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
18,DolarToday® (@DolarToday),3421,3553071,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
19,Laureano Marquez (@laureanomar),1192,3478740,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
20,Emilio Lovera (@emilioloveraof),159,3476178,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
21,NTN24 Venezuela (@NTN24ve),4654,3355712,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
22,Noticiero Venevisión (@noticierovv),5790,3350394,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
23,Noticias24 (@noticias24),514,3239045,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
24,Lilian Tintori (@liliantintori),5079,3217357,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
25,Nelson Bocaranda S. (@nelsonbocaranda),1134,3158203,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
26,Oscar D' Leon (@OscarDLeon),2438,2934032,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
27,Venevision (@venevision),313,2927141,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
28,Meridiano (@MeridianoTV),906,2905780,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
29,Leonardo Padrón (@Leonardo_Padron),2056,2793142,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
30,César Miguel Rondón (@cmrondon),1485,2768248,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
31,Leopoldo Castillo (@elcitizen),1622,2728373,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
32,Benjamín Rausseo (@ErGuacharo),487,2692645,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
33,CHYNO (@jesusmiranda),147,2642843,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
34,Carlos Baute (@carlosbaute),1289,2600965,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
35,Frases 😏🤚🏻 (@UnCuriosoDice),128,2598834,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
36,Norkys Batista (@Norkys_batista),517,2541239,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
37,Carla Angola TV (@carlaangola),2291,2482867,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
38,Antonio Ledezma (@alcaldeledezma),90117,2357546,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
39,Diosdado Cabello R (@dcabellor),23850,2294193,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
40,Chiquinquira Delgado (@chiqui_delgado),447,2244261,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
41,Runrunes (@RunRunesWeb),24763,2180589,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
42,VenezuelaSomosTodos (@ComandoSB),126030,2161083,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
43,Alberto Ravell (@AlbertoRavell),1988,2082435,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
44,ALFONSO LEON (@alfonsoleon10),629,2071654,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
45,El Chigüire Bipolar (@ChiguireBipolar),1967,2026784,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
46,Lele Pons (@lelepons),35742,1925324,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
47,Viviana Gibelli (@Gibelli_Viviana),418,1904093,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
48,¿QuéLeer? (@QueLeer),2995,1893575,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
49,Maite Delgado (@delgadomaite),559,1875396,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
50,Tráfico en Venezuela (@EUtrafico),137390,1861454,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
51,Ibéyise Pacheco (@ibepacheco),1662,1859710,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
52,Nitu Pérez Osuna (@NituPerez),1000,1853510,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
53,Marjorie de Sousa (@MarjoDSousa),752,1844722,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
54,Henry Ramos Allup (@hramosallup),216,1805133,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
55,Traffic Center (@FMCENTER),225,1798739,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
56,Miguel H Otero (@miguelhotero),1060379,1765494,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
57,Cines Unidos (@CinesUnidos),238,1760649,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
58,Kico (@kicobautista),7979,1695473,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
59,teleSUR TV (@teleSURtv),287,1686494,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
60,Roque Valero (@RoqueValero),1955,1663268,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
61,Carlos Ocariz (@CarlosOcariz),18904,1649794,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
62,Mariangel Ruiz (@MariangelRuiz7),592,1620226,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
63,Catherine Fulop (@catherine_fulop),4051,1609573,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
64,VTV CANAL 8 (@VTVcanal8),540,1596874,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
65,Reflexiones por Jorge Echeverria (@UnEscritorDice),205,1594418,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
66,Jorge Arreaza M (@jaarreaza),8526,1590726,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
67,¡Hay que saberlo! (@HayQueSaberlo),140798,1575619,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
68,Victor Drija (@victordrija),531,1574899,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
69,RCTV (@rctv),42,1570291,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
70,Moncho Martinez ⓂⓂ (@Monchomartinez),14100,1538417,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
71,Julio Borges (@JulioBorges),101926,1522973,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
72,Felipe Peláez Rodríguez (@FelipePelaez),180,1477066,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
73,Henri Falcón (@HenriFalconLara),512,1474649,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
74,RAMÓN MUCHACHO (@ramonmuchacho),18173,1469779,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
75,Elias Jaua (@JauaMiranda),2734,1468122,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
76,Edgar Ramírez (@edgarramirez25),646,1464307,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
77,El Noticiero Televen (@El_Noticiero),388,1445523,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
78,The Entrepreneur ™ (@TheEntreprenue),17,1440429,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
79,Luis Vicente Leon (@luisvicenteleon),349,1435956,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
80,CaraotaDigital (@CaraotaDigital),356,1397434,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
81,Son Curiosidades (@SonCuriosidades),98872,1386241,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
82,EL MORENO MICHAEL (@elmorenomichael),777,1374994,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
83,Diosa Canales (@canalesdiosa),350,1373752,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
84,Camila Canabal (@camilacanabal),487,1352890,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
85,Freddy Guevara (@FreddyGuevaraC),2141,1340089,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
86,PSUV (@PartidoPSUV),919,1302355,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
87,Tareck El Aissami (@TareckPSUV),342,1285412,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
88,Metro de Caracas (@metro_caracas),20,1273981,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
89,CusiFit (@esteticaysalud),724,1268200,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
90,M.Gabriela Chávez C. (@Maby80),50,1255736,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
91,Jorge Valdivia (@el_mago_oficial),71,1241465,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
92,La Bomba (@LaBomba_Televen),1768,1230370,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
93,Winston Vallenilla (@vwinstonv),1116,1225831,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
94,Juan Requesens (@JuanRequesens),1543,1220804,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
95,Unidad Venezuela (@unidadvenezuela),1097,1220217,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
96,Rafael Pollo Brito (@pollobrito),403,1214195,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
97,Pedro Luis Flores (@pedroluisflores),1360,1189914,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
98,Diego E. Arria (@Diego_Arria),216855,1188099,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
99,Marianella Salazar (@AliasMalula),786,1182947,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
100,Roland Carreño (@rolandcarreno),4017,1182568,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
