Ranking,Profile,Followings,Followers,Description
1,Tawakkol Karman (@TawakkolKarman),531,1099208,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
2,علي البخيتي (@Ali_Albukhaiti),344,929765,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
3,مأرب برس #اليمن (@marebpress),2,772612,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
4,المصدر أونلاين (@almasdaronline),1,615555,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
5,عين اليمن الأخبارية (@YenNews1),14,554579,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
6,علي عبدالله صالح (@YemenAfaash),0,544102,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
7,اليمن الآن (@ALyemennow),42,509789,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
8,محمد أحمد العامري (@mohammadalamry1),158,468900,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
9,عبدربه منصور هادي (@HadiPresident),0,429490,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
10,صحف نت (@SUHFNET),8,416050,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
11,اليمن اليوم (@YmnToday),513,377332,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
12,Dr Abubaker Alqirbi. الدكتور ابوبكر القربي (@AAlqirbi),117,358959,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
13,مدري غلا ولا محبه (@li9____),269416,354029,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
14,يمن برس (@yepress),531,353599,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
15,Ahmed  Alshalfi (@alshalfia),3898,273388,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
16,Jamal Benomar (@Jamal_Benomar),514,245770,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
17,UNICEF Yemen (@UNICEF_Yemen),405,206458,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
18,Hooria Mashhour (@Hooria_Mashhour),2471,190366,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
19,🇸🇦 شباب اليمن 🇾🇪 (@ShbaabYemen),164,189977,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
20,WHO Yemen (@WHOYemen),562,125097,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
21,MSF Yemen (@msf_yemen),625,118799,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
22,محمد علي الحوثي (@Moh_Alhouthi),3,117878,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
23,قناة يمن شباب (@yemenshababTV),27,89005,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
24,المشهد اليمني (@mashhadyemeni),13,85667,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
25,OCHA Yemen (@OCHAYemen),772,79827,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
26,بنك الكريمي (@Kuraimibank),1,54729,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
27,Hisham Al-Omeisy (@omeisy),611,44879,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
28,Haykal Bafana (@BaFana3),782,39443,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
29,BritishEmbassySanaa (@UKinYemen),69,29773,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
30,Yemen Kuwait Bank (@YKBYEMEN),4,26435,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
31,MTN Yemen (@MTNYemen),23,22843,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
32,UST Yemen جامعة العلوم والتكنولوجيا (@ust_edu),4,22715,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
33,اليمن Yemen (@yemen),71,21466,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
34,Sabafon Yemen (@sabafonyemen),2100,21195,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
35,قناة حضرموت (@Hadramouttv),0,20179,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
36,SMEPS (@SMEPSYEMEN),399,15630,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
37,Yemen Icon (@DMYemenIcon),46,10786,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
38,YemenMobile (@YemenmobileYe1),0,5998,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
39,بنك التضامن (@Tadhamonbank),2,5691,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
40,عاجل العرب (@3ajellme),342,4827,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
41,Fahmi Albaheth فهمي (@albaheth4),1613,4701,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
42,عاجل برس (@ajelpress),169,4528,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
43,Shehab Saleh  شهاب الحميري (@Shehabye),635,3854,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
44,Abdulrahman Alabsari (@alabsari),716,3831,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
45,Ibrahim ابراهيم (@brrhom),627,3663,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
46,Nasser #Yemen  ناصر (@Ojaiby),97,3380,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
47,Sadam Al-Adwar (@SadamAladwar),817,2000,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
48,Ibrahem Qasim (@Ibrahem_Qasim),803,1967,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
49,Anwer Dahak 🕊️ (@anwer_dahak),813,1519,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
50,Abe Alansi (@AbeAlansi),685,1462,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
51,Yemen Icon (@yemenicon),1057,1451,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
52,ياسين النهاري (@yaseen_nahari),215,1316,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
53,بداية للتنمية (@bedaya_ye),3450,1235,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
54,Amaani Yahya (@amaaniyahya),64,1234,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
55,الجامعة الإماراتية (@Eiuniversity),0,1039,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
56,تضامن باي (@TadhamonPay),2,1022,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
57,كاك بنك - CAC Bank (@cacbank),1,973,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
58,طيف عابر في زمن غابر (@Almohunndz),406,864,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
59,moataz alansiii (@MoatazAlansiii),1362,721,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
60,جامعة الناصر - اليمن (@alnasseru),27,663,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
61,Basheer Alsamawi (@balsamawi),290,575,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
